was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,event_id
False,0.62,True,US,04/15/2014,543,N838AW,PHL,07:00,20191126204305258
False,0.06,True,US,11/13/2014,1809,N965UW,PHL,09:30,20191126204306736
False,0.03,True,US,02/09/2014,1758,N181UW,PHL,07:30,20191126204300391
False,0.0,False,US,06/07/2014,2109,N950UW,DCA,10:00,20191126204313986
False,1.09,True,US,12/06/2014,738,N957UW,PHL,17:30,20191126204312666
False,0.15,True,US,04/27/2014,586,N647AW,PHX,19:00,20191126204305892
False,0.0,False,US,01/13/2014,1896,N955UW,PHL,16:30,20191126204303561
False,0.0,False,US,11/03/2014,1776,N955UW,PHL,14:30,20191126204306184
True,0.0,False,US,03/17/2014,2030,N742PS,PHL,11:30,20191126204308392
False,0.0,False,US,12/14/2014,2131,N762US,DCA,21:00,20191126204313067
False,0.01,True,US,09/02/2014,435,N640AW,PHX,06:15,20191126204315265
False,0.0,False,US,10/20/2014,2113,N825AW,DCA,12:00,20191126204302454
True,0.0,False,US,05/21/2014,1886,N958UW,PHL,20:30,20191126204311837
True,0.0,False,US,06/09/2014,722,N947UW,PHL,18:30,20191126204314039
False,0.0,False,US,05/05/2014,752,N561UW,CLT,08:05,20191126204310965
False,0.0,False,US,08/12/2014,1904,N733UW,CLT,05:00,20191126204309762
False,0.0,False,US,04/10/2014,2137,N947UW,LGA,07:00,20191126204305056
False,0.0,False,US,06/25/2014,2127,N807AW,DCA,19:00,20191126204314948
False,0.0,False,US,03/11/2014,2159,N965UW,LGA,18:00,20191126204308110
False,0.0,False,US,06/03/2014,2151,N953UW,LGA,14:00,20191126204313773
False,0.0,False,US,07/13/2014,893,N157UW,CLT,09:45,20191126204317412
False,0.0,False,US,02/11/2014,2103,N768US,DCA,06:00,20191126204300502
False,1.64,True,US,11/17/2014,647,N658AW,PHX,06:05,20191126204306910
False,0.13,True,US,12/07/2014,647,N656AW,PHX,06:05,20191126204312685
False,1.11,True,US,02/05/2014,2109, ,DCA,09:00,20191126204300206
False,0.0,False,US,07/21/2014,2139,N955UW,LGA,08:00,20191126204317868
False,0.0,False,US,09/14/2014,2147,N953UW,LGA,12:00,20191126204315934
True,0.0,False,US,07/09/2014,2159,N948UW,LGA,18:00,20191126204317247
False,0.0,False,US,03/24/2014,1791,N179UW,CLT,12:45,20191126204308755
False,0.01,True,US,12/01/2014,1875,N108UW,CLT,12:50,20191126204312383
True,0.0,False,US,07/26/2014,1787,N818AW,CLT,14:40,20191126204318141
False,0.0,False,US,06/23/2014,2115,N834AW,DCA,13:00,20191126204314820
False,0.0,False,US,03/01/2014,2030,N753US,PHL,11:30,20191126204307574
False,0.59,True,US,11/06/2014,1904,N714US,CLT,05:00,20191126204306374
False,0.0,False,US,10/06/2014,456,N183UW,CLT,08:10,20191126204301678
False,0.22,True,US,02/21/2014,2149, ,LGA,13:00,20191126204301059
False,0.0,False,US,09/19/2014,1904,N722US,CLT,05:00,20191126204316198
False,0.0,False,US,08/14/2014,2145,N952UW,LGA,11:00,20191126204309914
False,0.62,True,US,05/01/2014,2139,N711UW,LGA,08:00,20191126204310817
True,0.0,False,US,05/04/2014,740,N958UW,PHL,15:30,20191126204310921
True,0.0,False,US,08/12/2014,2141,N951UW,LGA,09:00,20191126204309789
False,0.0,False,US,09/22/2014,722,N958UW,PHL,18:30,20191126204316312
False,0.0,False,US,05/09/2014,2151,N951UW,LGA,14:00,20191126204311252
False,0.05,True,US,10/24/2014,2103,N818AW,DCA,07:00,20191126204302693
False,0.0,False,US,06/06/2014,2089,N945UW,PHL,17:00,20191126204313931
False,0.79,True,US,01/14/2014,2111,N742PS,DCA,10:00,20191126204303627
False,0.0,False,US,09/18/2014,2123,N837AW,DCA,17:00,20191126204316157
False,0.0,False,US,08/19/2014,2161,N953UW,LGA,19:00,20191126204310173
False,0.0,False,US,07/24/2014,2129,N762US,DCA,20:00,20191126204318047
False,0.0,False,US,08/20/2014,2155,N953UW,LGA,16:00,20191126204310230
False,0.0,False,US,09/10/2014,1827,N961UW,PHL,11:30,20191126204315707
False,0.0,False,US,05/14/2014,2141,N950UW,LGA,09:00,20191126204311494
False,0.0,False,US,02/26/2014,2159,N961UW,LGA,18:00,20191126204301306
False,0.06,True,US,11/13/2014,2159,N956UW,LGA,18:00,20191126204306776
False,0.01,True,US,08/06/2014,2141,N967UW,LGA,09:00,20191126204309474
False,0.0,False,US,11/30/2014,1793,N959UW,PHL,07:30,20191126204307526
False,0.0,False,US,04/20/2014,740,N963UW,PHL,15:30,20191126204305530
True,0.0,False,US,01/16/2014,2117,N738US,DCA,13:00,20191126204303748
False,0.01,True,US,12/28/2014,1909,N963UW,PHL,05:30,20191126204313545
True,0.31,True,US,02/14/2014,1701,N956UW,PHL,08:30,20191126204300663
False,0.31,True,US,10/11/2014,2013,N170US,CLT,11:10,20191126204301998
False,0.03,True,US,03/10/2014,582,N804AW,PHX,06:10,20191126204307994
False,0.0,False,US,07/21/2014,2161,N945UW,LGA,19:00,20191126204317879
False,0.0,False,US,01/08/2014,740,N954UW,PHL,15:30,20191126204303304
True,0.11,True,US,07/28/2014,2123,N757UW,DCA,17:00,20191126204318237
False,0.14,True,US,06/04/2014,2101,N828AW,DCA,06:00,20191126204313808
False,0.0,False,US,11/10/2014,2135,N965UW,LGA,06:45,20191126204306585
False,0.0,False,US,07/17/2014,2139,N954UW,LGA,08:00,20191126204317675
False,0.65,True,US,05/17/2014,2105,N949UW,DCA,08:00,20191126204311649
False,0.0,False,US,10/05/2014,447,N572UW,CLT,12:50,20191126204301636
True,0.08,True,US,07/07/2014,1755,N949UW,PHL,19:30,20191126204317082
False,0.26,True,US,04/04/2014,2117,N738US,DCA,14:00,20191126204304737
False,0.0,False,US,06/18/2014,2033,N951UW,PHL,12:30,20191126204314555
False,0.78,True,US,06/05/2014,2115,N831AW,DCA,13:00,20191126204313877
False,0.22,True,US,02/18/2014,1946,N198UW,CLT,06:00,20191126204300854
False,0.0,False,US,04/25/2014,2145,N947UW,LGA,11:00,20191126204305855
False,1.44,True,US,11/26/2014,647,N650AW,PHX,06:05,20191126204307392
False,0.0,False,US,06/06/2014,2135,N958UW,LGA,06:45,20191126204313949
True,0.0,False,US,07/25/2014,1938,N742PS,CLT,17:05,20191126204318091
False,0.0,False,US,04/24/2014,2139,N700UW,LGA,08:00,20191126204305791
False,0.67,True,US,04/08/2014,2129,N762US,DCA,20:00,20191126204304931
False,1.11,True,US,02/05/2014,2083, ,CLT,12:45,20191126204300202
False,0.0,False,US,05/14/2014,538,N810AW,PHX,10:00,20191126204311447
False,0.13,True,US,12/07/2014,738,N946UW,PHL,17:30,20191126204312688
False,0.01,True,US,01/29/2014,2131,N770UW,DCA,20:00,20191126204304389
